2025-12-09 08:30,20.5,11.0,20,On,Heat,winter,Slapen
2025-12-09 09:00,21.5,11.0,20,On,Heat,winter,Slapen
2025-12-09 09:30,21.0,11.0,20,On,Heat,winter,Slapen
2025-12-09 10:00,20.5,11.0,20,On,Heat,winter,Slapen
2025-12-09 10:30,20.5,11.0,20,On,Heat,winter,Slapen
2025-12-09 11:00,21.5,11.0,20,On,Heat,winter,Aanwezig
2025-12-09 11:30,20.5,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 12:00,21.0,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 12:30,20.5,12.0,20,On,Heat,winter,Aanwezig
2025-12-09 13:00,20.5,12.0,20,On,Heat,winter,Aanwezig
2025-12-09 13:30,20.5,12.0,20,On,Heat,winter,Aanwezig
2025-12-09 14:00,20.0,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 14:30,20.0,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 15:00,20.0,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 15:30,20.5,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 16:00,20.0,11.0,20,On,Heat,winter,Weg
2025-12-09 16:30,20.5,11.0,20,On,Heat,winter,Weg
2025-12-09 17:00,20.0,11.0,20,On,Heat,winter,Weg
2025-12-09 17:30,20.5,11.0,20,On,Heat,winter,Weg
2025-12-09 18:00,20.5,11.5,20,On,Heat,winter,Weg
2025-12-09 18:30,20.0,11.5,20,On,Heat,winter,Weg
2025-12-09 19:00,20.5,11.5,20,On,Heat,winter,Weg
2025-12-09 19:30,20.0,11.5,20,On,Heat,winter,Weg
2025-12-09 20:00,20.5,11.5,20,On,Heat,winter,Weg
2025-12-09 20:30,20.5,11.5,20,On,Heat,winter,Weg
2025-12-09 21:00,20.0,11.5,20,On,Heat,winter,Weg
2025-12-09 21:30,20.0,11.5,20,On,Heat,winter,Weg
2025-12-09 22:00,20.5,11.5,20,On,Heat,winter,Weg
2025-12-09 22:30,20.0,11.5,20,On,Heat,winter,Aanwezig
2025-12-09 23:00,20.5,12.0,20,On,Heat,winter,Aanwezig
2025-12-09 23:30,20.5,12.0,20,On,Heat,winter,Slapen
2025-12-10 00:00,20.0,11.5,20,On,Heat,winter,Aanwezig
